cheese,milk,country,family,type,fat_content,texture,rind,color,flavor,aroma,vegetarian,vegan
Aarewasser,cow,Switzerland,Cheddar,semi-soft,High,buttery,washed,yellow,sweet,buttery,False,False
Abbaye de Belloc,sheep,France,Cheddar,"semi-hard, artisan",High,"creamy, dense, firm",natural,yellow,burnt caramel,lanoline,True,False
Abbot’s Gold,cow,"England, Great Britain, United Kingdom",Cheddar,semi-hard,High,"creamy, crumbly, dense, semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,True,False
Abondance,cow,France,Cheddar,"semi-hard, artisan",High,creamy,natural,pale yellow,nutty,"buttery, fruity",False,False
Acorn,sheep,United Kingdom,Cheddar,"hard, artisan",High,"crumbly, firm",natural,white,"burnt caramel, citrusy, herbaceous",fruity,True,False
ADL Brick Cheese,cow,Canada,Cheddar,semi-soft,High,"elastic, firm, open, soft",rindless,ivory,"buttery, mild, milky, subtle","buttery, sweet",True,False
ADL Mild Cheddar,cow,Canada,Cheddar,semi-hard,High,"firm, springy",rindless,yellow,"acidic, buttery, milky, subtle",rich,True,False
Aged British Cheddar,cow,United States,Cheddar,"hard, artisan",High,"crumbly, crystalline, flaky",natural,pale yellow,"sharp, tangy","nutty, sweet",True,True
Aged Cashew & Brazil Nut Cheese,cow,United States,Cheddar,"firm, artisan",High,"firm, spreadable",mold ripened,brown,"creamy, nutty, sweet","nutty, rich",True,False
Aged Cashew & Dulse Cheese,cow,United States,Cheddar,"firm, artisan",High,"firm, spreadable",natural,brown,"creamy, oceanic",rich,True,False
Aged Cashew & Hemp Seed Cheese,cow,United States,Cheddar,"firm, artisan",High,"firm, spreadable",natural,brown,"creamy, mild, nutty, spicy","nutty, rich",True,False
Aged Cashew Nut & Kale Cheese,"cow, water buffalo",United States,Cheddar,"firm, artisan",High,"firm, spreadable",bloomy,green,"creamy, oceanic, tangy",rich,True,False
Aged Cashew Nut Cheese,cow,United States,Cheddar,"firm, artisan",High,"firm, spreadable",mold ripened,golden yellow,"creamy, nutty, subtle","clean, fresh, nutty",True,False
Aggiano,cow,United States,Cheddar,"hard, artisan",High,"creamy, dry",natural,cream,"butterscotch, tangy",fruity,True,False
Ailsa Craig,goat,"Scotland, United Kingdom",Cheddar,"semi-soft, artisan",High,"creamy, fluffy",rindless,white,creamy,goaty,True,False
Airedale,cow,New Zealand,Cheddar,"semi-soft, artisan",High,smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",True,False
Alex James Co. No 1 Cheddar,cow,United Kingdom,Cheddar,hard,High,"creamy, crumbly",mold ripened,yellow,sweet,nutty,False,False
Alex James Co. No 4 Goats',goat,United Kingdom,Cheddar,fresh soft,High,"smooth, springy",washed,pale white,"creamy, meaty, mushroomy, nutty",earthy,True,False
Alisia-Victoria,cow,Switzerland,Cheddar,firm,High,smooth,natural,golden yellow,buttery,nutty,False,False
Allgauer Emmentaler,cow,Germany,Cheddar,hard,High,firm,natural,yellow,nutty,pungent,False,False
Alma Vorarlberger Alpkäse (3-5 months),cow,Austria,Cheddar,"hard, artisan",High,firm,natural,yellow,"mild, spicy","mild, spicy",False,False
Alma Vorarlberger Alpkäse (6-9 months),cow,Austria,Cheddar,"hard, artisan",High,firm,natural,yellow,"spicy, strong","spicy, strong",False,False
Alma Vorarlberger Bergkäse (10 months),cow,Austria,Cheddar,"hard, artisan",High,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",False,False
Alma Vorarlberger Bergkäse (12 months),cow,Austria,Cheddar,"hard, artisan",High,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",False,False
Alma Vorarlberger Bergkäse (6 months),cow,Austria,Cheddar,"hard, artisan",High,"firm, open, supple",natural,cream,"piquant, spicy, tangy",aromatic,False,False
Almnäs Tegel,cow,Sweden,Cheddar,"hard, smear-ripened",High,"open, smooth",washed,straw,"caramel, fruity, nutty","fruity, sweet",False,False
Alpe di Frabosa,cow,Italy,Cheddar,semi-soft,High,soft-ripened,rindless,straw,bitter,"milky, mushroom",False,False
Alpha Tolman,cow,United States,Cheddar,"semi-hard, artisan",High,"dense, elastic, smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",False,False
Alpicrème,goat,France,Cheddar,soft,High,"firm, supple",bloomy,cream,"earthy, subtle, sweet","aromatic, floral, fruity",False,False
Alps Rebel,cow,Austria,Cheddar,"semi-hard, artisan",High,"creamy, open",natural,yellow,"buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",False,False
American Cheese,cow,United States,Cheddar,"semi-soft, processed",High,smooth,rindless,yellow,"mild, sweet, tangy",mild,False,False
Amish Frolic,cow,United States,Cheddar,"hard, artisan",High,"flaky, open",natural,pale yellow,"grassy, nutty, sweet",grassy,False,False
